# SYNTHETIC SAMPLE - mirrors Google Maps Platform published Geocoding/Places data specification for prototype purposes; NOT vendor data.
place_id,query,formatted_address,lat,lng,location_type,place_types,country_code,administrative_area,locality,postal_code,data_status
mock-ChIJ-place-0001,"Palais Theatre, Lower Esplanade, St Kilda VIC","Palais Theatre, Lower Esplanade, St Kilda VIC 3182, Australia (mock)",-37.8676,144.9791,ROOFTOP,performing_arts_theater|point_of_interest,AU,Victoria,St Kilda,3182,SYNTHETIC_SAMPLE
mock-ChIJ-place-0002,"Sydney Opera House, Bennelong Point NSW","Sydney Opera House, Bennelong Point, Sydney NSW 2000, Australia (mock)",-33.8568,151.2153,ROOFTOP,tourist_attraction|performing_arts_theater,AU,New South Wales,Sydney,2000,SYNTHETIC_SAMPLE
mock-ChIJ-place-0003,Melbourne Convention and Exhibition Centre VIC,"1 Convention Centre Pl, South Wharf VIC 3006, Australia (mock)",-37.8244,144.9528,ROOFTOP,convention_center|point_of_interest,AU,Victoria,South Wharf,3006,SYNTHETIC_SAMPLE
mock-ChIJ-place-0004,"Federation Square, Melbourne VIC","Federation Square, Melbourne VIC 3000, Australia (mock)",-37.818,144.9691,ROOFTOP,tourist_attraction|plaza,AU,Victoria,Melbourne,3000,SYNTHETIC_SAMPLE
mock-ChIJ-place-0005,"Wembley Point Community Hall, Wembley WA","Wembley Point Community Hall, Wembley WA 6014, Australia (mock)",-31.9333,115.808,APPROXIMATE,community_center|point_of_interest,AU,Western Australia,Wembley,6014,SYNTHETIC_SAMPLE
mock-ChIJ-place-0006,"Balgandharva Rangmandir, Pune, Maharashtra","Balgandharva Rangmandir, Shivajinagar, Pune, Maharashtra 411005, India (mock)",18.5304,73.8467,ROOFTOP,performing_arts_theater,IN,Maharashtra,Pune,411005,SYNTHETIC_SAMPLE
mock-ChIJ-place-0007,"Shanmukhananda Hall, Sion, Mumbai, Maharashtra","Shanmukhananda Hall, Sion, Mumbai, Maharashtra 400022, India (mock)",19.0413,72.8619,ROOFTOP,performing_arts_theater,IN,Maharashtra,Mumbai,400022,SYNTHETIC_SAMPLE
mock-ChIJ-place-0008,"Auburn Community Centre, Auburn NSW","Auburn Community Centre, Auburn NSW 2144, Australia (mock)",-33.8493,151.0327,APPROXIMATE,community_center,AU,New South Wales,Auburn,2144,SYNTHETIC_SAMPLE
mock-ChIJ-place-0009,"Wantirna Community Centre, Wantirna VIC","Wantirna Community Centre, Wantirna VIC 3152, Australia (mock)",-37.85,145.2333,APPROXIMATE,community_center,AU,Victoria,Wantirna,3152,SYNTHETIC_SAMPLE
mock-ChIJ-place-0010,"Clayton Community Centre, Clayton VIC","Clayton Community Centre, Clayton VIC 3168, Australia (mock)",-37.9214,145.1163,APPROXIMATE,community_center,AU,Victoria,Clayton,3168,SYNTHETIC_SAMPLE
