metric,period,value,unit,detail,source_url,access_date,data_status
Total tickets distributed through Ticketmaster systems,FY2025,646,million tickets,Item 1 (Business): 'distributing 646 million tickets through our systems in 2025.',https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2026-08-23,REAL_EXTRACT
Ticketmaster clients worldwide,FY2025,10500,clients,"Item 1 (Business): 'Ticketmaster serves 10,500 clients worldwide.'",https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2026-08-23,REAL_EXTRACT
Fee-bearing tickets sold,FY2025,346,million tickets,"MD&A: 'We sold 346 million fee-bearing tickets in 2025 compared to 340 million tickets last year, up 6 million tickets or 2%.'",https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2026-08-23,REAL_EXTRACT
Fee-bearing gross transaction value (GTV),FY2025,37.1,USD billion,"MD&A: 'Fee-bearing GTV for the year was $37.1 billion, up $2.1 billion, or 6% compared to 2024.'",https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2026-08-23,REAL_EXTRACT
"Non-fee-bearing tickets sold (season packages, venue box offices, other channels)",FY2025,300,million tickets,"Item 1: 'approximately 300 million tickets were sold, for which we did not receive a fee, using our Ticketmaster systems...'",https://www.sec.gov/Archives/edgar/data/1335258/000133525826000009/lyv-20251231.htm,2026-08-23,REAL_EXTRACT
Concerts ticketing fee-bearing GTV,FY2025,26,USD billion (grew 9% YoY),Press release: 'Ticketing fee-bearing gross transaction value (GTV) for concerts grew 9% to $26 billion.',https://news.livenationentertainment.com/news/live-nation-entertainment-full-year-and-fourth-quarter-2025-results,2026-08-23,REAL_EXTRACT
Fee-bearing tickets growth driver,FY2025,"concerts +4%, sports -2%",YoY category mix,"Press release: 'Fee-bearing tickets increased 2% to 346 million, driven by concerts up 4% offsetting a 2% decline in sports.'",https://news.livenationentertainment.com/news/live-nation-entertainment-full-year-and-fourth-quarter-2025-results,2026-08-23,REAL_EXTRACT
Total tickets distributed through Ticketmaster systems,FY2024,637,million tickets (over),"FY2024 10-K, Item 1: 'distributing over 637 million tickets through our systems in 2024.'",https://www.sec.gov/Archives/edgar/data/1335258/000133525825000028/lyv-20241231.htm,2026-08-23,REAL_EXTRACT
Fee-bearing tickets sold (as originally reported in FY2024 10-K),FY2024,331,million tickets (approximately),"FY2024 10-K: 'we sold approximately 331 million tickets in 2024 on which we were paid fees for our services.' NOTE: the later FY2025 10-K MD&A restates 2024 fee-bearing tickets as 340 million (see us-stats.md caveat) — an unexplained restatement between filings; both figures are carried here, do not blend them.",https://www.sec.gov/Archives/edgar/data/1335258/000133525825000028/lyv-20241231.htm,2026-08-23,REAL_EXTRACT
Non-fee-bearing tickets sold,FY2024,307,million tickets (approximately),"FY2024 10-K: 'approximately 307 million tickets were sold, for which we did not receive a fee...'",https://www.sec.gov/Archives/edgar/data/1335258/000133525825000028/lyv-20241231.htm,2026-08-23,REAL_EXTRACT
