metric,value,unit,reference_period,geography,source_url,access_date,data_status,note
Adults attended >=1 cultural venue/event,64,% of adults,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,COVID-affected collection window (Jul 2020-Jun 2022)
Adults (15+) attended >=1 cultural venue/event,82.4,% of persons 15+,2017-18,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/attendance-selected-cultural-venues-and-events-australia/latest-release,2026-08-23,REAL_EXTRACT,rounded to 82% in 2021-22 release
Theatre performances attendance,8.0,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,directly relevant to Marathi drama/theatre category
Theatre performances attendance,16.5,% of persons,2017-18,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/attendance-selected-cultural-venues-and-events-australia/latest-release,2026-08-23,REAL_EXTRACT,pre-COVID baseline
Live music concerts or performances attendance,17.6,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
Live music concerts attendance,38.2,% of persons,2017-18,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/attendance-selected-cultural-venues-and-events-australia/latest-release,2026-08-23,REAL_EXTRACT,
Musicals or operas attendance,7.0,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
Dance performances attendance,5.1,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
Other performing arts attendance,8.6,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
Cinemas attendance,43.9,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
Art galleries attendance,18.2,% of persons,2021-22,Australia,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
"Attendance rate, greater capital city residents",65,% of adults,2021-22,Australia (greater capital cities),https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,4pp premium over non-capital regions
"Attendance rate, non-capital-city residents",61,% of adults,2021-22,Australia (outside greater capital cities),https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,
"Attendance rate, highest state/territory (ACT)",72,% of adults,2021-22,Australian Capital Territory,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-and-creative-activities/latest-release,2026-08-23,REAL_EXTRACT,highest of all states/territories
Marathi used at home,22263,persons,Census 2021,Australia (national),https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,"Table 5, Cultural diversity data summary"
Marathi used at home,9753,persons,Census 2021,New South Wales,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,NSW exceeds Victoria for Marathi language
Marathi used at home,7170,persons,Census 2021,Victoria,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,
India-born population (estimated resident population),971020,persons,30 Jun 2025,Australia (national),https://www.abs.gov.au/statistics/people/population/australias-population-country-birth/latest-release,2026-08-23,REAL_EXTRACT,"largest overseas-born group on record, ahead of England (970,950)"
India-born population (Census count),673352,persons,Census 2021,Australia (national),https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,second-largest country of birth after England at Census 2021
Indian ancestry,783953,responses,Census 2021,Australia (national),https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,Table 4; ancestry allows up to 2 responses per person
Indian ancestry,276770,responses,Census 2021,Victoria,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,Victoria leads NSW on Indian ancestry (reverse of Marathi-language split)
Indian ancestry,261103,responses,Census 2021,New South Wales,https://www.abs.gov.au/statistics/people/people-and-communities/cultural-diversity-census/2021/Cultural%20diversity%20data%20summary.xlsx,2026-08-23,REAL_EXTRACT,
