metric,value,unit,reference_period,geography,source_url,access_date,data_status,note
"Total attendance, not-for-profit performing arts companies (NAICS 7111)",7072536,attendees,2022,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,table 21-10-0186-01; not-for-profit sector only
"Attendance, theatre (except musical) (NAICS 711111)",3646585,attendees,2022,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,
"Attendance, musical theatre and opera (NAICS 711112)",573442,attendees,2022,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,
"Attendance, dance companies (NAICS 711120)",670563,attendees,2022,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,
"Attendance, musical groups and artists (NAICS 711130)",1633708,attendees,2022,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,
"Total attendance, not-for-profit performing arts companies (NAICS 7111)",10374787,attendees,2024,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,most recent reference year in the table
"Attendance, musical groups and artists (NAICS 711130)",2597963,attendees,2024,Canada,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110018601,2026-08-23,REAL_EXTRACT,
Performing arts industry operating revenue,3200000000,CAD,2024,Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260122/dq260122b-eng.htm,2026-08-23,REAL_EXTRACT,up 17.0% from 2022; The Daily release 2026-01-22
Not-for-profit single-ticket sales,225900000,CAD,2024,Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260122/dq260122b-eng.htm,2026-08-23,REAL_EXTRACT,up 70.2% from 2022
"Immigrant population, total",8361505,persons,Census 2021,Canada,https://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/page.cfm?lang=E&topic=9&dguid=2021A000011124,2026-08-23,REAL_EXTRACT,"2016 comparator: 7,540,830"
India-born immigrants,898045,"persons (10.7% of immigrants, rank 1)",Census 2021,Canada,https://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/page.cfm?lang=E&topic=9&dguid=2021A000011124,2026-08-23,REAL_EXTRACT,"2016 comparator: 668,565 (8.9%, rank 1)"
India-born recent immigrants (2016-2021 arrivals),246995,"persons (18.6% of recent immigrants, rank 1)",2016-2021,Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/221026/dq221026a-eng.htm,2026-08-23,REAL_EXTRACT,leading country of birth for recent immigration to Canada
