# SYNTHETIC SAMPLE - mirrors Nielsen/NielsenIQ published audience-measurement & consumer-panel data specification for prototype purposes; NOT vendor data.
nielsen_product,market,media_category,audience_segment,measurement_period,metric,value,unit,panel_size,data_status
Nielsen NPOWER (mock TV panel),"Melbourne, AU",Free-to-air TV (SBS/ethnic programming block),South Asian-born adults 25-54,2026-Q1,Weekly Reach,14.2,%,1150,SYNTHETIC_SAMPLE
Nielsen NPOWER (mock TV panel),"Sydney, AU",Free-to-air TV (SBS/ethnic programming block),South Asian-born adults 25-54,2026-Q1,Weekly Reach,16.8,%,1340,SYNTHETIC_SAMPLE
Nielsen Digital Content Ratings (mock),"Melbourne, AU",Streaming video (diaspora/regional-language apps),India-born adults 18-44,2026-Q1,Monthly Unique Viewers,38500,persons,980,SYNTHETIC_SAMPLE
Nielsen Digital Content Ratings (mock),"Sydney, AU",Streaming video (diaspora/regional-language apps),India-born adults 18-44,2026-Q1,Monthly Unique Viewers,46200,persons,1105,SYNTHETIC_SAMPLE
Nielsen Scarborough (mock lifestyle panel),"Melbourne, AU",Live entertainment attendance propensity,Marathi-speaking households,2025 wave,Attended a live theatre/cultural show in past 12mo,41.0,%,310,SYNTHETIC_SAMPLE
Nielsen Scarborough (mock lifestyle panel),"Sydney, AU",Live entertainment attendance propensity,Marathi-speaking households,2025 wave,Attended a live theatre/cultural show in past 12mo,37.5,%,285,SYNTHETIC_SAMPLE
Nielsen NPOWER (mock TV panel),"Melbourne, AU",Ethnic radio (community stations),India-born adults 35-64,2026-Q1,Weekly Reach,22.1,%,690,SYNTHETIC_SAMPLE
Nielsen Ad Intel (mock),AU national,Ticketing & live-events category ad spend,All advertisers,FY2025,Estimated Ad Spend,6.4,AUD million,,SYNTHETIC_SAMPLE
Nielsen Total Audience (mock),"Melbourne, AU",Cross-platform video (TV+streaming),South Asian-born adults 18-54,2026-Q1,Average Weekly Viewing Time,11.3,hours,1150,SYNTHETIC_SAMPLE
Nielsen Total Audience (mock),"Sydney, AU",Cross-platform video (TV+streaming),South Asian-born adults 18-54,2026-Q1,Average Weekly Viewing Time,12.0,hours,1340,SYNTHETIC_SAMPLE
