metric,value,unit,reference_period,geography,source_url,access_date,data_status,note
Adults engaged with the arts (last 12 months),90.6,% of adults,2024/25,England,https://www.gov.uk/government/statistics/participation-survey-2024-25-annual-publication/headline-findings-for-the-participation-survey-april-2024-to-march-2025,2026-08-23,REAL_EXTRACT,"rounded to 91% headline; down from 91.4% in 2023/24; broad measure, not live-event attendance"
Adults engaged with the arts (last 12 months),91.4,% of adults,2023/24,England,https://www.gov.uk/government/statistics/participation-survey-2024-25-annual-publication/headline-findings-for-the-participation-survey-april-2024-to-march-2025,2026-08-23,REAL_EXTRACT,prior-year comparator
Engaged with arts both physically and digitally,34,% of adults,2024/25,England,https://www.gov.uk/government/statistics/participation-survey-2024-25-annual-publication/headline-findings-for-the-participation-survey-april-2024-to-march-2025,2026-08-23,REAL_EXTRACT,
Engaged with arts exclusively physically,56,% of adults,2024/25,England,https://www.gov.uk/government/statistics/participation-survey-2024-25-annual-publication/headline-findings-for-the-participation-survey-april-2024-to-march-2025,2026-08-23,REAL_EXTRACT,
Engaged with arts exclusively digitally,1,% of adults,2024/25,England,https://www.gov.uk/government/statistics/participation-survey-2024-25-annual-publication/headline-findings-for-the-participation-survey-april-2024-to-march-2025,2026-08-23,REAL_EXTRACT,
UK consumer spend on live music,6680000000,GBP,2024,United Kingdom,https://www.livemusic.biz/news/latest-live-annual-report-records-another-record-year-for-live-music,2026-08-23,REAL_EXTRACT,"trade-body estimate (LIVE), NOT an ONS/DCMS government statistic; £6.68bn precise, rounded to £6.7bn"
"UK live music consumer spend, YoY change",9.5,% change,2024 vs 2023,United Kingdom,https://www.livemusic.biz/news/latest-live-annual-report-records-another-record-year-for-live-music,2026-08-23,REAL_EXTRACT,trade-body estimate (LIVE)
Marathi as main language,11022,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,table TS024; counts only those whose MAIN language is Marathi (floor estimate)
"South Asian language speakers (all, main language)",1374141,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,
Gujarati as main language,188956,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,
Panjabi as main language,290745,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,
Urdu as main language,269849,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,
Hindi as main language,51260,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts024,2026-08-23,REAL_EXTRACT,
India-born usual residents,920361,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts012,2026-08-23,REAL_EXTRACT,table TS012; ~1.54% of E&W usual residents; excludes Scotland/NI
Total usual residents,59597538,persons,Census 2021,England and Wales,https://www.nomisweb.co.uk/datasets/c2021ts012,2026-08-23,REAL_EXTRACT,denominator for India-born share
